year,count_country,all,male,female,p1,p2,p3,p4,p5,p6,p7,total
2000,82,461,337.0,31.0,1888.0,1276.0,302.0,1467.0,753.0,484.0,0.0,6170.0
2001,83,473,440.0,33.0,1724.0,733.0,415.0,1529.0,1291.0,368.0,0.0,6060.0
2002,84,479,341.0,37.0,1652.0,1704.0,283.0,1866.0,1086.0,196.0,0.0,6787.0
2003,82,457,333.0,29.0,1626.0,1053.0,185.0,2117.0,737.0,264.0,0.0,5982.0
2004,85,486,351.0,37.0,2237.0,1342.0,492.0,1983.0,1221.0,611.0,0.0,7886.0
2005,91,513,469.0,43.0,1341.0,1565.0,468.0,1928.0,1113.0,690.0,0.0,7105.0
2006,90,498,460.0,38.0,2796.0,913.0,328.0,2489.0,589.0,93.0,0.0,7208.0
2007,93,520,471.0,49.0,1759.0,1310.0,158.0,2954.0,987.0,79.0,0.0,7247.0
2008,97,535,480.0,55.0,2664.0,1371.0,430.0,2355.0,1111.0,139.0,0.0,8070.0
2009,104,565,506.0,59.0,2714.0,2096.0,576.0,1647.0,1398.0,95.0,0.0,8526.0
2010,96,522,469.0,47.0,2812.0,1330.0,240.0,2758.0,481.0,190.0,0.0,7811.0
2011,101,563,506.0,57.0,3010.0,368.0,594.0,2291.0,1835.0,179.0,0.0,8278.0
2012,100,547,496.0,51.0,3077.0,1395.0,226.0,2060.0,910.0,184.0,0.0,7852.0
2013,97,527,475.0,52.0,2165.0,1331.0,414.0,2868.0,1292.0,156.0,0.0,8226.0
2014,101,560,504.0,56.0,2995.0,1664.0,283.0,2906.0,957.0,190.0,0.0,8995.0
2015,104,577,525.0,52.0,2485.0,784.0,377.0,2766.0,873.0,205.0,0.0,7490.0
2016,109,602,531.0,71.0,3174.0,1224.0,151.0,2856.0,1010.0,485.0,0.0,8900.0
2017,111,615,553.0,62.0,3655.0,1417.0,26.0,3093.0,596.0,181.0,0.0,8968.0
2018,107,594,535.0,59.0,2931.0,1750.0,165.0,2353.0,1601.0,379.0,0.0,9179.0
2019,112,621,556.0,65.0,3216.0,1490.0,355.0,2320.0,2215.0,250.0,0.0,9846.0
2020,105,616,560.0,56.0,3273.0,1385.0,579.0,2426.0,1723.0,174.0,0.0,9560.0
2021,107,619,555.0,64.0,2719.0,232.0,230.0,2363.0,1332.0,298.0,0.0,7174.0
2022,104,583,517.0,66.0,3221.0,2494.0,443.0,3178.0,2032.0,385.0,0.0,11753.0
2023,112,617,551.0,66.0,3570.0,1919.0,734.0,2873.0,1452.0,164.0,0.0,10712.0
