"Year","Country","Number","First name","Last name","Middle name","Gender","P1","P2","P3","P4","Total score","Award"
"2010","Switzerland","6","Raphael","Schumacher","","m","3","2","0","1","6",""
"2010","Switzerland","7","Nikola","Djokic","","m","7","6","3","1","17","silver"
"2010","Switzerland","8","Alain","Vaucher","","m","7","3","3","2","15","bronze"
"2011","Belgium","1","Stijn","Cambie","","m","7","4","0","1","12","hm"
"2011","Belgium","2","Victor","De Baere","","m","3","0","2","7","12","hm"
"2011","Belgium","3","Elias","Moons","","m","6","0","0","4","10",""
"2011","Belgium","4","Dieter","Plessers","","m","3","0","0","3","6",""
"2011","Belgium","5","Tim","Seynnaeve","","m","6","7","7","6","26","gold"
"2011","Belgium","6","Alexander","Fisch","","m","7","7","7","2","23","silver"
"2011","Belgium","7","Victor","Lecomte","","m","2","3","7","0","12","hm"
"2011","Belgium","8","Benoît","Legat","","m","6","6","3","3","18","bronze"
"2011","Belgium","9","François","Staelens","","m","7","2","7","3","19","bronze"
"2011","Belgium","10","Adrien","Vandenschrick","","m","3","0","5","3","11",""
"2011","Luxembourg","1","Jérôme","Urhausen","","m","3","7","7","6","23","silver"
"2011","Luxembourg","2","Christina","Meyer","","f","6","0","0","2","8",""
"2011","Luxembourg","3","Nicolas","Atten","","m","3","0","1","2","6",""
"2011","Luxembourg","4","Gilles","Englebert","","m","1","0","3","3","7",""
"2011","Luxembourg","5","Philippe","Scholtes","","m","7","0","0","1","8","hm"
"2011","Luxembourg","6","Grégoire","Genest","","m","6","7","5","6","24","silver"
"2011","Luxembourg","7","Michel","Thull","","m","2","1","0","2","5",""
"2011","Luxembourg","8","Carole","Muller","","f","0","1","0","3","4",""
"2011","Luxembourg","9","Adrian","Gheorghe","","m","7","0","1","2","10","hm"
"2011","Luxembourg","10","Maurice","Hörold","","m","7","0","0","0","7","hm"
"2011","Netherlands","1","Daniël","Kroes","","m","7","7","7","4","25","silver"
"2011","Netherlands","2","Guus","Berkelmans","","m","6","3","7","7","23","silver"
"2011","Netherlands","3","Jeroen","Huijben","","m","7","4","7","3","21","bronze"
"2011","Netherlands","4","Jetze","Zoethout","","m","7","7","7","3","24","silver"
"2011","Netherlands","5","Madelon","Kemp","de","f","7","7","7","7","28","gold"
"2011","Netherlands","6","Merlijn","Staps","","m","7","7","7","7","28","gold"
"2011","Netherlands","7","Paul","Eekelen","van","m","7","7","7","3","24","silver"
"2011","Netherlands","8","Peter","Gerlagh","","m","6","2","7","2","17","bronze"
"2011","Netherlands","9","Peter","Hintum","van","m","3","0","2","4","9",""
"2011","Netherlands","10","Jeroen","Winkel","","m","7","0","7","7","21","bronze"
"2012","Belgium","1","Stijn","Cambie","","m","7","7","1","3","18","silver"
"2012","Belgium","2","Steven","Colleman","","m","6","1","0","1","8",""
"2012","Belgium","3","Élise","Delhez","","f","7","3","0","1","11","bronze"
"2012","Belgium","4","Gerwin","Dox","","m","6","6","0","3","15","silver"
"2012","Belgium","5","Thorvald","Dox","","m","7","1","0","2","10","bronze"
"2012","Belgium","6","Antoine","Dupuis","","m","7","0","0","2","9","hm"
"2012","Belgium","7","Alexander","Fisch","","m","7","6","7","3","23","gold"
"2012","Belgium","8","Sophie","Peng-Casavecchia","","f","7","1","0","3","11","bronze"
"2012","Belgium","9","Dieter","Plessers","","m","6","1","0","3","10","bronze"
"2012","Belgium","10","Adrien","Vandenschrick","","m","7","1","0","2","10","bronze"
"2012","Luxembourg","1","Ben","Mirgain","","m","7","0","0","1","8","hm"
"2012","Luxembourg","2","Gilles","Englebert","","m","6","0","0","0","6",""
"2012","Luxembourg","3","Michel","Thull","","m","3","1","0","2","6",""
"2012","Luxembourg","4","Philippe","Scholtes","","m","1","0","0","0","1",""
"2012","Luxembourg","5","Carole","Muller","","f","7","1","0","1","9","hm"
"2012","Luxembourg","6","Christina","Meyer","","f","7","0","0","1","8","hm"
"2012","Luxembourg","7","Patrick","Meurin","","m","7","0","0","3","10","bronze"
"2012","Luxembourg","8","Linda","Dell’Angela","","f","0","0","0","2","2",""
"2012","Luxembourg","9","Charel","Thull","","m","0","0","0","1","1",""
"2012","Luxembourg","10","Eric","Sinner","","m","3","1","0","0","4",""
"2012","Netherlands","1","Guus","Berkelmans","","m","7","6","1","3","17","silver"
"2012","Netherlands","2","Peter","Gerlagh","","m","7","1","0","1","9","hm"
"2012","Netherlands","3","Ragnar","Groot Koerkamp","","m","7","7","4","3","21","gold"
"2012","Netherlands","4","Jan-Willem","Ittersum","van","m","7","1","0","2","10","bronze"
"2012","Netherlands","5","Matthijs","Lip","","m","7","1","0","3","11","bronze"
"2012","Netherlands","6","Djurre","Tijsma","","m","7","1","0","1","9","hm"
"2012","Netherlands","7","Matthijs","Vernooij","","m","6","1","0","2","9",""
"2012","Netherlands","8","Bas","Verseveldt","","m","7","6","0","1","14","silver"
"2012","Netherlands","9","Jeroen","Winkel","","m","7","5","0","3","15","silver"
"2012","Netherlands","10","Jetze","Zoethout","","m","7","7","7","3","24","gold"
"2013","Belgium","1","Toon","Baeyens","","m","6","0","0","2","8","bronze"
"2013","Belgium","2","Louis","Delhez","","m","0","0","0","0","0",""
"2013","Belgium","3","Gerwin","Dox","","m","1","0","7","2","10","bronze"
"2013","Belgium","4","Antoine","Dupuis","","m","6","7","7","1","21","gold"
"2013","Belgium","5","Jef","Laga","","m","0","1","1","1","3",""
"2013","Belgium","6","Victor","Lecomte","","m","7","1","7","3","18","silver"
"2013","Belgium","7","Sébastien","Mattenet","","m","0","0","0","1","1",""
"2013","Belgium","8","Mathias","Smits","","m","7","0","0","0","7","hm"
"2013","Belgium","9","Simon","Tihon","","m","7","1","0","1","9","bronze"
"2013","Belgium","10","Jeroen","Van Hautte","","m","0","0","3","0","3",""
"2013","Luxembourg","1","Gilles","Englebert","","m","0","1","0","0","1",""
"2013","Luxembourg","2","Ben","Mirgain","","m","3","0","0","0","3",""
"2013","Luxembourg","3","Tara","Aghajani","","f","1","0","0","0","1",""
"2013","Luxembourg","4","Nadine","Müller","","f","0","0","0","0","0",""
"2013","Luxembourg","5","Christina","Meyer","","f","7","0","7","1","15","silver"
"2013","Luxembourg","6","Charles","Thull","","m","3","1","0","0","4",""
"2013","Luxembourg","7","Nico","Thilmany","","m","0","0","0","0","0",""
"2013","Luxembourg","8","Michel","Thull","","m","5","0","0","0","5",""
"2013","Luxembourg","9","Alain","Bastian","","m","3","0","0","0","3",""
"2013","Luxembourg","10","Philippe","Roukoz","","m","2","0","0","0","2",""
"2013","Netherlands","1","Tysger","Boelens","","m","6","3","1","0","10","bronze"
"2013","Netherlands","2","Koen","Doodeman","","m","6","1","0","2","9","bronze"
"2013","Netherlands","3","Thijs","Douwes","","m","2","1","0","0","3",""
"2013","Netherlands","4","Peter","Gerlagh","","m","7","7","7","2","23","gold"
